current_job_title,target_job_title,skills,education_level,years_of_experience,portfolio_strength,estimated_salary_usd,certifications,language_proficiency,remote_work_preference,projects_completed,communication_skills_rating
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,2,High,71979,AWS Certified,"English, French",Remote,4,5
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,4,High,68742,Scrum Master,"English, French",Remote,10,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,4,Low,65296,DataCamp Track,English,Onsite,7,2
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,5,Medium,67078,Scrum Master,"English, Hindi",Hybrid,6,4
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,5,Medium,82662,AWS Certified,"English, French",Remote,2,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,5,High,90969,Microsoft Azure,"English, Spanish",Onsite,11,5
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,4,High,64720,AWS Certified,"English, French",Hybrid,9,4
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,5,Medium,58778,Google Data Analytics,"English, Spanish",Hybrid,7,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,7,High,75332,PMP,"English, Hindi",Remote,3,5
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,8,Low,82323,DataCamp Track,"English, Spanish",Onsite,11,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,4,Medium,89298,Certified UX Designer,English,Hybrid,5,3
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,7,Low,94274,Microsoft Azure,"English, Hindi",Remote,1,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,4,Low,96371,Certified UX Designer,"English, German",Onsite,9,4
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,3,Medium,83252,Certified UX Designer,"English, Spanish",Hybrid,1,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,6,Medium,78476,AWS Certified,"English, Spanish",Onsite,6,3
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,6,Low,82777,AWS Certified,"English, German",Remote,6,4
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,3,High,83782,AWS Certified,"English, French",Remote,1,4
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,5,Low,98250,Google Data Analytics,"English, French",Hybrid,4,2
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,4,Medium,79972,AWS Certified,"English, French",Remote,2,5
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,4,Medium,63610,Microsoft Azure,"English, Spanish",Hybrid,1,4
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,6,High,101825,Google Data Analytics,"English, French",Hybrid,4,2
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,3,Low,77205,AWS Certified,"English, French",Remote,4,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,5,Medium,73367,AWS Certified,"English, French",Remote,3,5
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,3,Medium,78128,Scrum Master,"English, French",Hybrid,4,5
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,3,High,59855,Google Data Analytics,"English, Spanish",Hybrid,7,4
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,4,Low,92845,Certified UX Designer,English,Hybrid,3,2
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,2,High,79897,Scrum Master,"English, French",Hybrid,6,5
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,4,High,79985,AWS Certified,"English, German",Onsite,5,5
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,8,Medium,101822,DataCamp Track,"English, Spanish",Onsite,11,5
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,3,Low,66706,Scrum Master,"English, French",Remote,7,4
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,6,High,81898,PMP,"English, Hindi",Remote,7,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,3,High,96575,Google Data Analytics,"English, French",Onsite,7,3
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,5,Low,89952,AWS Certified,"English, Spanish",Hybrid,1,5
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,1,High,69610,AWS Certified,"English, German",Onsite,10,3
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,7,Low,80057,Certified UX Designer,"English, Hindi",Remote,10,3
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,4,Medium,86631,Certified UX Designer,English,Hybrid,3,2
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,4,Medium,62670,Google Data Analytics,"English, Spanish",Hybrid,7,5
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,4,High,64497,Google Data Analytics,"English, French",Remote,5,4
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,3,High,71862,PMP,"English, French",Onsite,8,4
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,4,High,69868,AWS Certified,"English, French",Hybrid,10,4
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,3,Low,79547,DataCamp Track,"English, French",Remote,7,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,5,High,97060,Microsoft Azure,"English, Spanish",Onsite,13,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,4,High,70322,Certified UX Designer,"English, German",Remote,8,3
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,5,Low,86565,Certified UX Designer,English,Hybrid,1,2
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,4,Low,67304,Certified UX Designer,"English, Spanish",Onsite,9,5
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,4,High,60721,Google Data Analytics,"English, German",Hybrid,4,3
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,3,Low,71604,Scrum Master,"English, French",Remote,6,4
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,5,Low,65086,AWS Certified,"English, German",Remote,8,3
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,1,Medium,72530,None,"English, German",Remote,5,3
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,4,Low,89181,PMP,"English, Hindi",Onsite,4,4
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,8,Medium,85818,None,"English, German",Hybrid,10,2
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,6,Low,67650,AWS Certified,"English, Spanish",Onsite,5,3
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,4,High,77107,Certified UX Designer,"English, German",Onsite,10,4
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,7,Medium,81068,Certified UX Designer,"English, German",Hybrid,10,5
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,5,High,92339,Google Data Analytics,"English, French",Hybrid,4,2
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,3,Low,92576,Certified UX Designer,English,Hybrid,2,3
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,2,Low,75745,Certified UX Designer,English,Hybrid,2,3
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,7,Medium,77598,None,English,Hybrid,5,5
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,5,High,54164,AWS Certified,"English, French",Hybrid,11,4
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,6,Low,105534,Microsoft Azure,"English, Hindi",Remote,3,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,4,High,84613,AWS Certified,"English, French",Remote,1,3
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,6,Medium,108013,Microsoft Azure,"English, Hindi",Remote,1,4
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,2,Medium,84115,AWS Certified,"English, Spanish",Hybrid,3,5
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,6,High,94278,Google Data Analytics,English,Onsite,7,4
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,4,Medium,81394,AWS Certified,"English, French",Remote,3,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,7,High,70118,Scrum Master,"English, Hindi",Hybrid,5,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,3,Low,76321,Google Data Analytics,"English, French",Onsite,7,4
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,4,High,76345,Scrum Master,"English, French",Hybrid,6,4
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,2,High,95379,Google Data Analytics,"English, Hindi",Hybrid,7,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,3,High,78052,Certified UX Designer,English,Hybrid,6,3
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,4,Low,57878,Google Data Analytics,"English, French",Remote,6,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,4,High,85744,Certified UX Designer,"English, German",Onsite,8,2
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,1,Medium,74826,Scrum Master,"English, French",Hybrid,5,4
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,5,Medium,53187,Certified UX Designer,"English, Spanish",Onsite,8,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,5,Low,80850,DataCamp Track,English,Onsite,8,2
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,5,Medium,77804,Scrum Master,"English, Hindi",Hybrid,7,3
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,7,Low,86009,Certified UX Designer,"English, German",Remote,6,4
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,5,Medium,84378,Certified UX Designer,English,Hybrid,4,2
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,6,Low,53254,Google Data Analytics,"English, French",Remote,4,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,2,High,76553,Google Data Analytics,"English, Hindi",Hybrid,10,5
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,2,Medium,87216,Scrum Master,"English, French",Remote,6,3
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,3,Low,91022,Google Data Analytics,"English, French",Onsite,4,4
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,3,Medium,76250,AWS Certified,"English, French",Remote,1,3
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,5,Low,102705,DataCamp Track,"English, Spanish",Onsite,9,4
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,7,Low,81662,AWS Certified,"English, Spanish",Onsite,8,3
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,6,Low,67294,Certified UX Designer,"English, German",Remote,9,5
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,5,High,96721,Google Data Analytics,English,Remote,3,4
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,3,High,55943,Microsoft Azure,"English, Spanish",Hybrid,1,5
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,3,High,61155,Google Data Analytics,"English, French",Remote,7,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,5,Medium,73896,None,English,Hybrid,9,5
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,5,Low,65464,PMP,"English, French",Onsite,4,5
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,8,Medium,97187,Google Data Analytics,English,Remote,1,5
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,1,High,79713,AWS Certified,"English, French",Remote,3,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,6,High,74354,AWS Certified,"English, Spanish",Onsite,4,5
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,5,High,68129,Google Data Analytics,"English, Spanish",Hybrid,7,4
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,5,High,72535,Microsoft Azure,"English, Spanish",Onsite,12,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,4,Low,84863,AWS Certified,"English, French",Remote,2,3
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,4,High,58829,Microsoft Azure,"English, Spanish",Hybrid,1,5
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,2,Medium,72265,Certified UX Designer,"English, Hindi",Remote,4,3
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,6,High,75295,AWS Certified,"English, German",Remote,5,2
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,8,Low,106009,Google Data Analytics,"English, French",Hybrid,4,2
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,3,Low,83813,Scrum Master,"English, French",Hybrid,8,4
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,1,Low,75558,Certified UX Designer,"English, Hindi",Remote,5,2
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,4,High,77385,Certified UX Designer,English,Hybrid,2,4
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,3,Medium,68729,Microsoft Azure,"English, Spanish",Hybrid,5,5
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,3,Low,58411,Google Data Analytics,"English, French",Remote,7,5
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,4,Medium,72052,AWS Certified,"English, French",Remote,5,4
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,6,High,63835,Scrum Master,English,Remote,4,3
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,6,Medium,80674,PMP,"English, Hindi",Remote,7,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,6,High,81184,Certified UX Designer,"English, German",Hybrid,12,5
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,6,Medium,68915,PMP,"English, French",Onsite,3,5
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,3,Low,81576,AWS Certified,"English, German",Onsite,10,4
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,2,Low,72616,AWS Certified,"English, German",Onsite,8,3
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,6,High,104087,Google Data Analytics,English,Remote,5,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,2,Medium,95723,Certified UX Designer,"English, German",Onsite,9,2
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,5,Medium,82507,DataCamp Track,English,Onsite,6,3
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,3,Low,71650,AWS Certified,"English, German",Onsite,10,2
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,7,Medium,66156,PMP,"English, Hindi",Remote,7,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,4,Low,82574,Certified UX Designer,"English, Hindi",Remote,8,4
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,6,Low,105297,None,English,Onsite,8,4
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,5,Low,56362,Certified UX Designer,"English, Spanish",Onsite,6,5
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,5,Medium,107009,Microsoft Azure,"English, Hindi",Remote,2,5
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,5,Medium,59791,AWS Certified,"English, French",Hybrid,11,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,5,High,81488,Certified UX Designer,English,Hybrid,6,2
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,2,Medium,79053,Google Data Analytics,"English, French",Onsite,5,4
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,5,Medium,73155,Certified UX Designer,"English, German",Remote,10,3
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,7,Medium,77139,Certified UX Designer,"English, German",Hybrid,9,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,5,Medium,77926,Google Data Analytics,"English, Hindi",Hybrid,10,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,4,Medium,75133,Certified UX Designer,"English, German",Hybrid,11,4
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,2,Low,97169,DataCamp Track,"English, French",Remote,5,5
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,2,Medium,71222,None,"English, German",Remote,8,2
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,1,High,67019,DataCamp Track,"English, German",Remote,12,3
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,6,Medium,63126,AWS Certified,"English, French",Hybrid,9,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,4,Medium,79743,Google Data Analytics,"English, Hindi",Hybrid,9,4
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,5,Low,69188,Certified UX Designer,"English, Hindi",Remote,8,4
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,2,Medium,92062,Certified UX Designer,English,Hybrid,3,2
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,1,High,76582,Scrum Master,"English, French",Remote,7,4
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,5,High,70543,Microsoft Azure,"English, Spanish",Hybrid,3,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,2,Low,80870,DataCamp Track,"English, French",Remote,9,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,6,Medium,67325,AWS Certified,"English, German",Remote,5,3
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,7,Low,72988,PMP,"English, Hindi",Remote,4,4
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,2,Medium,66488,Certified UX Designer,"English, Hindi",Remote,7,2
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,4,Low,63266,PMP,"English, French",Onsite,6,5
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,7,Low,82258,Google Data Analytics,English,Onsite,9,4
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,3,Low,69430,PMP,"English, French",Onsite,5,4
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,3,Medium,58280,Google Data Analytics,"English, French",Remote,5,4
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,7,Low,73973,AWS Certified,"English, German",Remote,8,2
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,5,Low,102476,None,"English, German",Hybrid,8,4
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,3,High,62663,Microsoft Azure,"English, Spanish",Hybrid,5,4
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,1,Low,82968,PMP,"English, French",Onsite,10,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,5,High,93980,Google Data Analytics,"English, Hindi",Hybrid,8,4
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,5,High,76753,DataCamp Track,English,Onsite,6,2
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,6,Medium,76235,Certified UX Designer,"English, German",Hybrid,9,4
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,4,Medium,72099,None,"English, German",Remote,5,2
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,5,Medium,67669,Microsoft Azure,"English, Spanish",Hybrid,4,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,5,Low,68455,Certified UX Designer,"English, German",Remote,6,3
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,2,Low,78798,DataCamp Track,"English, German",Remote,10,4
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,6,Low,60168,Certified UX Designer,"English, Spanish",Onsite,8,5
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,8,Medium,102077,Google Data Analytics,English,Remote,4,4
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,3,Low,79714,AWS Certified,"English, German",Onsite,5,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,3,High,85309,Certified UX Designer,English,Hybrid,2,2
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,7,High,82959,None,"English, German",Hybrid,11,3
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,7,High,103680,Google Data Analytics,English,Remote,3,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,3,Low,73716,Google Data Analytics,"English, French",Onsite,4,2
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,7,Low,82228,None,"English, German",Hybrid,9,2
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,4,Low,80362,AWS Certified,"English, German",Onsite,7,3
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,5,Low,80745,AWS Certified,"English, German",Remote,4,2
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,2,Medium,66326,Scrum Master,"English, French",Remote,8,3
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,3,Medium,92108,PMP,"English, Hindi",Onsite,2,4
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,2,Medium,71441,Certified UX Designer,"English, Spanish",Hybrid,2,5
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,4,Medium,77017,Scrum Master,"English, French",Hybrid,5,4
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,4,Medium,85152,AWS Certified,"English, German",Onsite,8,4
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,3,High,70501,Certified UX Designer,"English, Spanish",Hybrid,1,4
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,7,Low,74275,DataCamp Track,"English, Spanish",Remote,10,3
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,7,Low,106985,Microsoft Azure,"English, Hindi",Remote,9,4
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,5,Low,65763,Google Data Analytics,"English, French",Remote,4,4
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,3,High,89006,Google Data Analytics,"English, Hindi",Hybrid,11,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,5,High,79065,Google Data Analytics,"English, Hindi",Hybrid,7,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,6,High,75087,Certified UX Designer,"English, German",Remote,10,5
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,3,Low,66997,Google Data Analytics,"English, Spanish",Remote,2,2
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,6,High,68149,DataCamp Track,"English, Spanish",Remote,12,4
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,5,High,90724,Certified UX Designer,"English, German",Onsite,11,3
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,3,High,83937,AWS Certified,"English, German",Onsite,12,2
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,4,Medium,64119,Google Data Analytics,"English, Spanish",Hybrid,9,5
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,7,Low,82949,DataCamp Track,"English, Spanish",Onsite,9,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,6,High,64033,DataCamp Track,English,Onsite,7,2
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,3,High,68542,Microsoft Azure,"English, Spanish",Hybrid,1,5
